tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
15410,cust_1541,True,Mon Jun 10 01:31:00 +0000 2024,@AppleSupport how do you turn off those annoying notification previews on iPad Air reported this to consumer protection already,15411,
14780,cust_1478,True,Thu Jan 04 09:33:00 +0000 2024,"@AppleSupport got charged twice for apple music this month, need a refund",14781,
15051,AppleSupport,False,Thu Jul 11 02:12:00 +0000 2024,"@cust_1505 We're sorry for the billing trouble. Most subscription and purchase issues can be resolved directly at reportaproblem.apple.com, where you can flag a specific charge for refund review — most requests are processed within 48 hours. Duplicate charges are often a pending authorization that drops off automatically in 1-3 business days rather than a real double-charge, but if it's still there after that, use the link above and we'll escalate from our end too.",,15050
12701,AppleSupport,False,Tue Apr 16 12:30:00 +0000 2024,"@cust_1270 We understand how urgent account access is. For a disabled Apple ID, you'll need to go through account recovery at iforgot.apple.com — this can take anywhere from a few hours to several days depending on your account's security settings, and we can't expedite it over social media for security reasons. If you're not receiving 2FA codes, check that the trusted phone number on file is still active. DM us if you want us to check for any account restriction notices on our end.",,12700
10661,AppleSupport,False,Tue May 14 17:52:00 +0000 2024,"@cust_1066 Thanks for reaching out. Battery health issues after an update are usually tied to background app refresh re-indexing after the install, which settles in 24-48h. If it's still bad after that, an official diagnostic can check battery health % in Settings > Battery > Battery Health, and we can look at repair/replacement options if it's below 80%. DM us your device serial so we can look into your specific case.",,10660
16131,AppleSupport,False,Sun Apr 07 06:27:00 +0000 2024,"@cust_1613 Great question! Quick Start makes device-to-device transfer easiest — just place your old and new device near each other and follow the prompts. For storage, check Settings > General > iPhone Storage for a full breakdown by app. Before selling, back up via iCloud or your computer, then use Settings > General > Transfer or Reset > Erase All Content and Settings. Happy to walk through any of these in more detail if you get stuck.",,16130
16050,cust_1605,True,Sun Mar 24 15:28:00 +0000 2024,@AppleSupport is there a way to see how much storage im using on iPhone 15,16051,
12531,AppleSupport,False,Sun Oct 06 08:33:00 +0000 2024,"@cust_1253 That's frustrating, let's troubleshoot. Please try: 1) Connect to a wall charger (not a computer) for 30 min minimum, then attempt a force restart. 2) Check the charging port for lint/debris. If there's no response after that, or if liquid was involved, this typically needs a hands-on look at an Apple Store or Authorized Service Provider — liquid damage isn't something we can diagnose over DM. Let us know your location and we can find the nearest one.",,12530
14650,cust_1465,True,Tue Jan 23 12:37:00 +0000 2024,@AppleSupport why was i charged $14.99 for an app i never downloaded,14651,
10650,cust_1065,True,Mon Sep 16 16:31:00 +0000 2024,"@AppleSupport @AppleSupport battery drains from 100 to 20 in like 2 hours on my iPad Air, help",10651,
13570,cust_1357,True,Thu Jul 18 07:51:00 +0000 2024,@AppleSupport two factor code never arrives when i try to log into my apple id,13571,
11370,cust_1137,True,Tue Jul 30 09:57:00 +0000 2024,"@AppleSupport ios 17.5.1 update bricked my MacBook Air, stuck on apple logo",11371,
11201,AppleSupport,False,Tue Apr 23 12:23:00 +0000 2024,"@cust_1120 Sorry for the trouble — this sounds like the update got interrupted. First try a force restart (hold volume down + side button until the Apple logo appears). If it's stuck on the logo for over 15 minutes, connect to a computer and restore via Finder/iTunes in recovery mode — this should NOT erase data if it's a failed update rather than a factory reset. If you're on macOS/Windows and comfortable with these steps, DM us and we'll walk through it live.",,11200
14280,cust_1428,True,Tue Aug 06 13:31:00 +0000 2024,"@AppleSupport want to book a repair for my Apple Watch, nearest store is always fully booked",14281,
