customer_tweet_id,customer_text,brand_tweet_id,brand_text,weak_intent
714,"Hey and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?",712,"Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there.",software_update_issue
723,hello are all the lines closed for tonight #help,722,What's going on? We're hapy to help if we can.,general_inquiry
730,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also",729,"You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM:",general_inquiry
733,I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,732,Go ahead and send us a DM please. Let us know the country you're in.,general_inquiry
736,Thank you I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,734,"We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",general_inquiry
747,Hola necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,746,We offer support via Twitter in English. Get help in Spanish here: or join,general_inquiry
749,Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support!,748,We want to help! DM us and let us know more about the issues you are having.,general_inquiry
756,MY HOME BUTTON DOESN’T WORK #IOS11,755,Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?,software_update_issue
765,After update #ios1103 no spotify on my lock screen?,764,Thanks for reaching out to us. Are you experiencing the missing app after restating your device?,software_update_issue
1759,Why is “I️” keep changing to this and how do I️ stop it🤦🏽‍♀️ #anybody,1758,"We definitely understand your concern. Please backup your iPhone, update and let us know the result:",general_inquiry
1764,"Hello, I need some help regarding the region change on my Apple ID",1762,This article should help with that:,account_security
1770,why is my home sharing not working and how do i fix it,1769,We're happy to help. Has Home Sharing worked with these devices before?,general_inquiry
1781,why can’t I change ringer volume with the buttons? Whose dumb idea was it to change that and how do they still have a job?,1780,Let us look into that. What device and OS version are you using?,general_inquiry
1785,epıl bana yardımcı olur musun telefon internet konusunda çok yakıyo napcaz ?,1784,We offer support via Twitter in English. Contact us for help in your preferred language here:,general_inquiry
1791,why won’t my apps fuccin download or update,1790,Apps are important and we want you to get back to enjoying them. Which model do you have? Is iOS 11.1 installed on it?,software_update_issue
2613,"Cupertino, we have a problem. . . . .@190",2611,We'd like to see what we can do to assist. What version of iOS are you currently running? We released iOS 11.1 today.,general_inquiry
2616,"why is my battery life short? I updated to 11.1, my battery is poor. Wife didn’t she likes her battery life",2614,"Let’s work together on this situation. To clarify, did this start after updating to iOS 11.1? Also, which device are you using?",battery_performance
2620,watchOs4 made my watch pointless Browsing music on my phone via the watch was 80% reason for buying it now it’s useless.,2618,You should still be able to control Music on your iPhone from the watch. Check out the user guide here:,general_inquiry
2632,And why is my music NEVER in my control center?!,2630,We're here to help out! Which device is this on and which version of iOS is currently installed?,general_inquiry
2642,still no reliable Bluetooth on my iPhone 8+.,2641,Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help.,general_inquiry
2648,do you have any apps for epilepsy so I can detect my seizures thanks in advance,2647,"Hey, we can provide some guidance. Let's meet in DM and we'll go from there.",general_inquiry
2666,I keep getting this error message saying “the item can’t be played” and idk how to fix it...,2664,We'd like to look into this with you. Does the song appear to be greyed out?,general_inquiry
2676,HELP ME. I have a problem with my iPhone 7😑,2675,We're happy to help. What seems to be the problem?,general_inquiry
2678,"Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up.",2677,"We're here for you. DM us, and we'll look into this together.",general_inquiry
